"Grupo de edad ","","Femenino ","","Masculino ","","Total ",
"(anos) ","m ","% ","n ","% ","n ","% ",
"10 ","3 ","0.8 ","","1.0 ","7 ","0.9 ",
"10-19 ","13 ","3.5 ","12 ","2.9 ","25 ","3.2 ",
"20-29 ","54 ","14.4 ","51 ","12.5 ","105 ","13.4 ",
"30-39 ","67 ","17.9 ","49 ","12.0 ","116 ","14.8 ",
"40-49 ","56 ","14.9 ","82 ","20.1 ","138 ","17.6 ",
"50-59 ","93 ","24.8 ","85 ","20.8 ","178 ","22.7 ",
"60-69 ","53 ","14.1 ","66 ","16.2 ","119 ","15.2 ",
"70-79 ","20 ","5.3 ","40 ","9.8 ","60 ","7.7 ",
"2 80 ","16 ","4.3 ","19 ","4.7 ","35 ","4.5 ",
"No disponible ","1 ","","","","S ","",
"Total ","376 ","100.0 ","412 ","100.0 ","788 ","100.0 ",
