"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Sexo ","","",
"Femenino ","426 ","47.5 ",
"- Masculino ","471 ","52.5 ",
"Grupo de edad (afios) ","","",
"< 10 ","9 ","1.0 ",
"10-19 ","30 ","3.4 ",
"20-29 ","125 ","14.0 ",
"30-39 ","127 ","14.2 ",
"a 40-49 ","165 ","18.5 ",
"50-59 ","201 ","22.5 ",
"60-69 ","132 ","14.8 ",
"70-79 ","64 ","7.2 ",
"2 80 ","39 ","4.4 ",
"No disponible ","5 ","",
"Promedioide ","47.8 ","18.1 ",
"Rango ","0.0 ","95.0 ",
"Mediana ","49.0 ","",
"Region de residencia ","","",
"Arecibo ","50 ","8.8 ",
"Bayamon ","105 ","18.4 ",
"Caguas ","60 ","10.5 ",
"Fajardo ","12 ","2.1 ",
"Mayaguez ","69 ","12.1 ",
"Metro ","232 ","40.7 ",
"Ponce ","42 ","7.4 ",
"EE.UU ","S ","",
