"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Municipios de residencia ","","",
"Aguada ","2 ","0.4 ",
"Aguadilla ","3 ","0.5 ",
"Aguas Buenas ","8 ","14 ",
"Aibonito ","3 ","0.5 ",
"Afasco ","5 ","0.9 ",
"Arecibo ","12 ","2.1 ",
"Barceloneta ","1 ","0.2 ",
"Barranquitas ","4 ","0.7 ",
"Bayamon ","42 ","7.4 ",
"Cabo Rojo ","8 ","1.4 ",
"Caguas ","23 ","4.0 ",
"Camuy ","1 ","0.2 ",
"Canovanas ","4 ","0.7 ",
"Carolina ","39 ","6.8 ",
"Catano ","5 ","0.9 ",
"Cayey ","3 ","0.5 ",
"Ceiba ","3 ","0.5 ",
"Cidra ","5 ","0.9 ",
"Cororal ","2 ","0.4 ",
"Dorado ","12 ","2.1 ",
"Guanica ","4 ","0.7 ",
"Guayama ","1 ","0.2 ",
"Guaynabo ","42 ","7.4 ",
"Gurabo ","5 ","0.9 ",
"Hatillo ","5 ","0.9 ",
"Hormigueros ","6 ","1.1 ",
"Humacao ","1 ","0.2 ",
"Isabela ","6 ","1.1 ",
"Juana Diaz ","14 ","2.5 ",
"Juncos ","1 ","0.2 ",
"Lajas ","1 ","0.2 ",
"Lares ","2 ","0.4 ",
"Las Piedras ","4 ","0.7 ",
"Loiza ","2 ","0.4 ",
"Luquillo ","4 ","0.7 ",
"Manati ","4 ","0.7 ",
"Maunabo ","2 ","0.4 ",
"Mayaguez ","17 ","3.0 ",
"Moca ","1 ","0.2 ",
"Morovis ","3 ","0.5 ",
"Naguabo ","1 ","0.2 ",
"Naranjito ","3 ","0.5 ",
"Orocovis ","2 ","0.4 ",
"Patillas ","2 ","0.4 ",
"Ponce ","9 ","1.6 ",
"Quebradillas ","16 ","2.8 ",
"Rincon ","1 ","0.2 ",
"Rio Grande ","5 ","0.9 ",
"Sabana Grande ","5 ","0.9 ",
"Salinas ","1 ","0.2 ",
"San German ","7 ","1.2 ",
"San Juan ","120 ","21.1 ",
"San Lorenzo ","2 ","0.4 ",
"San Sebastian ","7 ","1.2 ",
"Santa Isabel ","1 ","0.2 ",
"Toa Alta ","13 ","2.3 ",
"Toa Baja ","15 ","2.6 ",
"Trujillo Alto ","25 ","4.4 ",
"Vega Alta ","8 ","1.4 ",
"Vega Baja ","5 ","0.9 ",
"Villalba ","2 ","0.4 ",
"Yabucoa ","2 ","0.4 ",
"Yauco ","8 ","1.4 ",
"Nueva York ","5 ","",
"No disponible Nota: La informacion suministrad: ","322 por fuentes ","externas al Departamnento ",
