"Caracteristica ","Frecuencia (n) ","Porciento (%) ",
"Sexo Femenino ","349 ","48.1 ",
"Masculino ","376 ","51.9 ",
"Grupo de edad (afos) ","","",
"10 ","7 ","1.0 ",
"10-19 ","24 ","3.3 ",
"20-29 ","97 ","13.4 ",
"30-39 ","107 ","14.8 ",
"40-49 ","123 ","17.0 ",
"50-59 ","165 ","22.9 ",
"60-69 ","112 ","15.5 ",
"70-79 ","55 ","7.6 ",
"> 80 ","32 ","4.4 ",
"No disponible ","3 ","",
"Promediotd.e ","48.2 + ","18.2 ",
"Rango ","0.0 ","95.0 ",
"Mediana ","50.0 ","",
"Region de residencia ","","",
"Arecibo ","31 ","7.8 ",
"Bayamon ","77 ","19.4 ",
"Caguas ","52 ","13.1 ",
"Fajardo ","9 ","2.3 ",
"Mayaguez ","58 ","14.6 ",
"Metro ","133 ","33.6 ",
"Ponce ","36 ","9.1 ",
"EE.UU. ","5 ","",
"No disponible ","324 ","",
