"Grupo de edad ","","Femenino ","","Masculino ","Total ","",
"(anos) ","n ","% ","n ","% ","n ","% ",
"10 ","3 ","0.9 ","2 ","0.6 ","5 ","0.7 ",
"10-19 ","13 ","4.0 ","11 ","3.1 ","24 ","3.5 ",
"20-29 ","44 ","13.4 ","44 ","12.5 ","88 ","12.9 ",
"30-39 ","60 ","18.3 ","44 ","12.5 ","104 ","15.3 ",
"40-49 ","52 ","15.9 ","66 ","18.8 ","118 ","17.4 ",
"$0-59 ","83 ","25.3 ","76 ","21.6 ","159 ","23.4 ",
"60-69 ","41 ","12.5 ","61 ","17.3 ","102 ","15.0 ",
"70-79 ","18 ","S.5 ","36 ","10.2 ","54 ","7.9 ",
"2 80 ","14 ","4.3 ","12 ","3.4 ","26 ","3.8 ",
"No disponible ","1 ","- ","2 ","- ","3 ","- ",
"","","","","","","",
"Total ","","100.0 ","","100.0 ","","100.0 ",
